"STATION","NAME","Date","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TSUN","WDF5","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT22"
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-14,66.88,NA,0,30,0,15,162,280,97.1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-15,43.84,NA,0,84,0,13,457,300,89,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-16,39.59,NA,0.3,0,4.4,11.8,0,310,80.1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-17,42.95,NA,0,95,0,14.2,516,320,61.1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-18,42.05,NA,0.5,0,5.4,13,0,270,69.1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-19,56.59,NA,1.31,0,8.3,16.9,0,270,102,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-20,60.62,NA,0.42,0,5,20.9,0,300,94,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-21,53.02,NA,0,100,0,22,543,300,84.1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-22,31.09,NA,0.39,0,6.2,22,0,230,55,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-23,41.83,NA,0.47,0,3.1,25.2,0,300,89.9,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-24,49.21,NA,0,0,0,25.2,0,290,91,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-25,51,NA,0.69,0,9,25.2,0,280,104.9,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-26,63.08,NA,0.07,0,1.7,27.2,0,270,91.9,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-27,78.29,NA,0,3,0,24,18,300,104,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-28,59.28,NA,0,65,0,22.8,355,310,116.1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-29,19.91,NA,0.03,6,0.7,22.8,35,310,46.1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-30,31.54,NA,0,55,0,22.8,300,300,50.1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2017-12-31,61.29,NA,0,71,0,22.8,386,300,101.1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2018-01-01,55.25,NA,0,89,0,22.8,488,310,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2018-01-02,53.91,NA,0.01,57,0.7,22.8,310,280,84.1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2018-01-03,39.15,NA,0,73,0,22.8,400,280,64,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2018-01-04,49.88,NA,1.14,0,10.1,22.8,0,330,121.9,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2018-01-05,66.66,NA,0.16,0,2.3,25.2,0,300,118.1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014755","MOUNT WASHINGTON, NH US",2018-01-06,83.66,NA,0,0,0,25.2,0,290,115,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
